# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  10)   0.583 us    |                    }
  10)   0.849 us    |                  }
  10)   1.861 us    |                }
  10)               |                unlazy_walk() {
  10)   0.046 us    |                  legitimize_mnt();
  10)   0.029 us    |                  _raw_spin_lock();
  10)               |                  path_get() {
  10)   0.050 us    |                    mntget();
  10)   0.308 us    |                  }
  10)   0.035 us    |                  _raw_spin_unlock();
  10)   1.405 us    |                }
  10)               |                nfs_lookup_revalidate [nfs]() {
  10)   0.052 us    |                  dget_parent();
  10)   0.034 us    |                  is_bad_inode();
  10)   0.028 us    |                  nfs3_have_delegation [nfsv3]();
  10)               |                  nfs_check_verifier [nfs]() {
  10)               |                    nfs_revalidate_inode [nfs]() {
  10)               |                      nfs_attribute_cache_expired [nfs]() {
  10)   0.032 us    |                        nfs3_have_delegation [nfsv3]();
  10)   0.304 us    |                      }
  10)   0.588 us    |                    }
  10)   0.860 us    |                  }
  10)               |                  __nfs_revalidate_inode [nfs]() {
  10)   0.030 us    |                    is_bad_inode();
  10)               |                    nfs_alloc_fattr [nfs]() {
  10)               |                      kmem_cache_alloc_trace() {
  10)   0.028 us    |                        _cond_resched();
  10)   0.317 us    |                      }
  10)   0.672 us    |                    }
  10)   0.041 us    |                    nfs4_label_alloc [nfs]();
  10)               |                    nfs3_proc_getattr [nfsv3]() {
  10)   0.035 us    |                      nfs_fattr_init [nfs]();
  10)               |                      nfs3_rpc_wrapper.constprop.9 [nfsv3]() {
  10)               |                        rpc_call_sync [sunrpc]() {
  10)               |                          rpc_run_task [sunrpc]() {
  10)               |                            rpc_new_task [sunrpc]() {
  10)               |                              mempool_alloc() {
  10)   0.029 us    |                                _cond_resched();
  10)               |                                mempool_alloc_slab() {
  10)   0.052 us    |                                  kmem_cache_alloc();
  10)   0.304 us    |                                }
  10)   0.963 us    |                              }
  10)   0.063 us    |                              ktime_get();
  10)   1.778 us    |                            }
  10)               |                            rpc_task_set_client [sunrpc]() {
  10)   0.043 us    |                              rpc_task_release_client [sunrpc]();
  10)   0.031 us    |                              _raw_spin_lock();
  10)   0.028 us    |                              _raw_spin_unlock();
  10)   0.909 us    |                            }
  10)               |                            rpc_execute [sunrpc]() {
  10)               |                              rpc_make_runnable [sunrpc]() {
  10)               |                                wake_up_bit() {
  10)   0.112 us    |                                  bit_waitqueue();
  10)   0.037 us    |                                  __wake_up_bit();
  10)   0.637 us    |                                }
  10)   0.905 us    |                              }
  10)               |                              __rpc_execute [sunrpc]() {
  10)   0.103 us    |                                call_start [sunrpc]();
  10)               |                                call_reserve [sunrpc]() {
  10)               |                                  xprt_reserve [sunrpc]() {
  10)               |                                    xprt_lock_and_alloc_slot [sunrpc]() {
  10)   0.069 us    |                                      _raw_spin_lock_bh();
  10)   0.047 us    |                                      xprt_reserve_xprt [sunrpc]();
  10)               |                                      _raw_spin_unlock_bh() {
  10)   0.072 us    |                                        __local_bh_enable_ip();
  10)   0.353 us    |                                      }
  10)               |                                      xprt_alloc_slot [sunrpc]() {
  10)   0.030 us    |                                        _raw_spin_lock();
  10)   0.063 us    |                                        xprt_reset_majortimeo [sunrpc]();
  10)   0.030 us    |                                        _raw_spin_unlock();
  10)   1.431 us    |                                      }
  10)   0.029 us    |                                      _raw_spin_lock_bh();
  10)               |                                      xs_tcp_release_xprt [sunrpc]() {
  10)               |                                        xprt_release_xprt [sunrpc]() {
  10)   0.061 us    |                                          xprt_clear_locked [sunrpc]();
  10)               |                                          rpc_wake_up_first [sunrpc]() {
  10)   0.109 us    |                                            _raw_spin_lock_bh();
  10)               |                                            _raw_spin_unlock_bh() {
  10)   0.028 us    |                                              __local_bh_enable_ip();
  10)   0.299 us    |                                            }
  10)   1.079 us    |                                          }
  10)   0.035 us    |                                          xprt_clear_locked [sunrpc]();
  10)   2.122 us    |                                        }
  10)   2.444 us    |                                      }
  10)               |                                      _raw_spin_unlock_bh() {
  10)   0.055 us    |                                        __local_bh_enable_ip();
  10)   0.305 us    |                                      }
  10)   6.644 us    |                                    }
  10)   6.999 us    |                                  }
  10)   7.296 us    |                                }
  10)   0.030 us    |                                call_reserveresult [sunrpc]();
  10)               |                                call_refresh [sunrpc]() {
  10)               |                                  rpcauth_refreshcred [sunrpc]() {
  10)               |                                    rpcauth_lookupcred [sunrpc]() {
  10)               |                                      unx_lookup_cred [sunrpc]() {
  10)               |                                        rpcauth_lookup_credcache [sunrpc]() {
  10)               |                                          from_kuid() {
  10)   0.032 us    |                                            map_id_up();
  10)   0.288 us    |                                          }
  10)   0.091 us    |                                          unx_match [sunrpc]();
  10)   0.159 us    |                                          _raw_spin_lock();
  10)   0.028 us    |                                          _raw_spin_unlock();
  10)   1.745 us    |                                        }
  10)   2.003 us    |                                      }
  10)   2.348 us    |                                    }
  10)   0.033 us    |                                    unx_refresh [sunrpc]();
  10)   2.956 us    |                                  }
  10)   3.259 us    |                                }
  10)               |                                call_refreshresult [sunrpc]() {
  10)   0.027 us    |                                  rpcauth_uptodatecred [sunrpc]();
  10)   0.294 us    |                                }
  10)               |                                call_allocate [sunrpc]() {
  10)               |                                  rpc_malloc [sunrpc]() {
  10)               |                                    mempool_alloc() {
  10)               |                                      mempool_alloc_slab() {
  10)   0.078 us    |                                        kmem_cache_alloc();
  10)   0.320 us    |                                      }
  10)   0.601 us    |                                    }
  10)   0.860 us    |                                  }
  10)   1.176 us    |                                }
  10)   0.041 us    |                                call_bind [sunrpc]();
  10)   0.044 us    |                                call_connect [sunrpc]();
  10)               |                                call_transmit [sunrpc]() {
  10)               |                                  xprt_prepare_transmit [sunrpc]() {
  10)   0.031 us    |                                    _raw_spin_lock_bh();
  10)   0.043 us    |                                    xprt_reserve_xprt [sunrpc]();
  10)               |                                    _raw_spin_unlock_bh() {
  10)   0.044 us    |                                      __local_bh_enable_ip();
  10)   0.306 us    |                                    }
  10)   1.144 us    |                                  }
  10)               |                                  rpcauth_marshcred [sunrpc]() {
  10)               |                                    unx_marshal [sunrpc]() {
  10)               |                                      xdr_encode_opaque [sunrpc]() {
  10)   0.096 us    |                                        xdr_encode_opaque_fixed [sunrpc]();
  10)   0.398 us    |                                      }
  10)               |                                      from_kuid() {
  10)   0.033 us    |                                        map_id_up();
  10)   0.300 us    |                                      }
  10)               |                                      from_kgid() {
  10)   0.028 us    |                                        map_id_up();
  10)   0.279 us    |                                      }
  10)               |                                      from_kgid() {
  10)   0.031 us    |                                        map_id_up();
  10)   0.322 us    |                                      }
  10)   2.408 us    |                                    }
  10)   2.910 us    |                                  }
  10)               |                                  rpcauth_wrap_req [sunrpc]() {
  10)   0.050 us    |                                    xdr_init_encode [sunrpc]();
  10)               |                                    nfs3_xdr_enc_getattr3args [nfsv3]() {
  10)               |                                      encode_nfs_fh3 [nfsv3]() {
  10)               |                                        xdr_reserve_space [sunrpc]() {
  10)   0.029 us    |                                          xdr_commit_encode [sunrpc]();
  10)   0.376 us    |                                        }
  10)               |                                        xdr_encode_opaque [sunrpc]() {
  10)   0.042 us    |                                          xdr_encode_opaque_fixed [sunrpc]();
  10)   0.286 us    |                                        }
  10)   1.246 us    |                                      }
  10)   1.680 us    |                                    }
  10)   2.334 us    |                                  }
  10)               |                                  xprt_transmit [sunrpc]() {
  10)   0.030 us    |                                    _raw_spin_lock_bh();
  10)               |                                    _raw_spin_unlock_bh() {
  10)   0.033 us    |                                      __local_bh_enable_ip();
  10)   0.288 us    |                                    }
  10)   0.028 us    |                                    xprt_reset_majortimeo [sunrpc]();
  10)               |                                    del_timer_sync() {
  10)               |                                      try_to_del_timer_sync() {
  10)               |                                        lock_timer_base.isra.36() {
  10)   0.079 us    |                                          _raw_spin_lock_irqsave();
  10)   0.360 us    |                                        }
  10)   0.047 us    |                                        detach_if_pending();
  10)   0.039 us    |                                        _raw_spin_unlock_irqrestore();
  10)   1.254 us    |                                      }
  10)   1.550 us    |                                    }
  10)   0.034 us    |                                    ktime_get();
  10)               |                                    xs_tcp_send_request [sunrpc]() {
  10)               |                                      xs_sendpages [sunrpc]() {
  10)               |                                        xs_send_kvec [sunrpc]() {
  10)               |                                          kernel_sendmsg() {
  10)   0.049 us    |                                            iov_iter_init();
  10)               |                                            do_sock_sendmsg() {
  10)               |                                              security_socket_sendmsg() {
  10)               |                                                apparmor_socket_sendmsg() {
  10)               |                                                  aa_sock_msg_perm() {
  10)               |                                                    aa_sk_perm.isra.4() {
  10)   0.029 us    |                                                      aa_label_sk_perm.isra.2();
  10)   0.376 us    |                                                    }
  10)   0.723 us    |                                                  }
  10)   0.989 us    |                                                }
  10)   1.301 us    |                                              }
  10)               |                                              inet_sendmsg() {
  10)               |                                                tcp_sendmsg() {
  10)               |                                                  lock_sock_nested() {
  10)   0.029 us    |                                                    _cond_resched();
  10)   0.102 us    |                                                    _raw_spin_lock_bh();
  10)   0.028 us    |                                                    _raw_spin_unlock();
  10)   0.047 us    |                                                    __local_bh_enable_ip();
  10)   1.237 us    |                                                  }
  10)               |                                                  tcp_send_mss() {
  10)               |                                                    tcp_current_mss() {
  10)   0.076 us    |                                                      ipv4_mtu();
  10)               |                                                      tcp_established_options() {
  10)               |                                                        tcp_v4_md5_lookup() {
  10)   0.044 us    |                                                          tcp_md5_do_lookup();
  10)   0.317 us    |                                                        }
  10)   0.765 us    |                                                      }
  10)   1.534 us    |                                                    }
  10)   2.036 us    |                                                  }
  10)               |                                                  sk_stream_alloc_skb() {
  10)               |                                                    __alloc_skb() {
  10)   0.100 us    |                                                      kmem_cache_alloc_node();
  10)               |                                                      __kmalloc_reserve.isra.26() {
  10)               |                                                        __kmalloc_node_track_caller() {
  10)   0.040 us    |                                                          kmalloc_slab();
  10)   0.343 us    |                                                        }
  10)   0.641 us    |                                                      }
  10)   0.048 us    |                                                      ksize();
  10)   1.697 us    |                                                    }
  10)   0.189 us    |                                                    __sk_mem_schedule();
  10)   2.569 us    |                                                  }
  10)   0.134 us    |                                                  skb_entail();
  10)   0.030 us    |                                                  skb_put();
  10)               |                                                  tcp_push() {
  10)               |                                                    __tcp_push_pending_frames() {
  10)               |                                                      tcp_write_xmit() {
  10)               |                                                        tcp_init_tso_segs() {
  10)   0.046 us    |                                                          tcp_set_skb_tso_segs();
  10)   0.355 us    |                                                        }
  10)   0.039 us    |                                                        tcp_nagle_check();
  10)               |                                                        tcp_transmit_skb() {
  10)               |                                                          skb_clone() {
  10)               |                                                            __skb_clone() {
